Provincia,Mbps (Media de bajada),Velocidad_Promedio_Provincia,Nueva_Velocidad,KPI_Aumento_Velocidad
Corrientes,23.851523971243,29.335323255693304,25.04410016980515,5.000000000000003
Entre Ríos,22.4325986462062,27.630179819463983,23.554228578516508,4.999999999999997
Formosa,18.2828320694304,23.28657364915028,19.19697367290192,5.0000000000000036
La Rioja,12.1947037670582,20.79586006879485,12.804438955411111,5.000000000000006
Mendoza,10.1874910345956,14.867812320279436,10.696865586325382,5.0000000000000115
Misiones,24.1417618725215,28.90183042687181,25.348849966147576,5.000000000000006
Río Negro,21.0777787032588,22.761131735454708,22.131667638421742,5.000000000000006
Salta,25.2611559240277,25.51226914594281,26.52421372022909,5.000000000000009
San Juan,6.02786479358268,8.850696587126581,6.329258033261814,5.000000000000006
San Luis,20.8499281337887,28.98381675858839,21.89242454047814,5.000000000000012
Santa Cruz,6.64936371202663,8.40829398214465,6.981831897627962,5.000000000000009
Santa Fe,25.6909413412681,29.291079513758643,26.975488408331508,5.000000000000009
Santiago Del Estero,10.8790172706597,13.205254673844061,11.422968134192686,5.000000000000011
Capital Federal,60.4844973584038,63.331717870208955,63.50872222632399,4.999999999999999
Chaco,27.9522846743643,32.95065270309209,29.349898908082515,5.000000000000001
Chubut,7.60548798455908,8.194332114660515,7.985762383787034,5.000000000000009
Córdoba,30.9875776371395,35.07736611619202,32.536956518996476,5.000000000000009
Corrientes,22.1503060625758,29.335323255693304,23.257821365704594,5.0000000000000115
Entre Ríos,20.4486211784426,27.630179819463983,21.47105223736473,5.000000000000002
Formosa,16.8702589931144,23.28657364915028,17.713771942770123,5.000000000000009
Jujuy,15.8640136318626,17.20923978540554,16.65721431345573,4.999999999999995
La Pampa,8.0288622555984,9.291688324976617,8.43030536837832,5.000000000000012
La Rioja,11.6691109619773,20.79586006879485,12.252566510076164,4.999999999999998
Mendoza,9.27456273209416,14.867812320279436,9.738290868698869,4.9999999999999964
Misiones,22.5601226175832,28.90183042687181,23.68812874846236,5.0000000000000036
Neuquén,29.1001476238785,31.061870659916227,30.555155005072425,5.000000000000005
Río Negro,19.6795960472832,22.761131735454708,20.663575849647362,5.000000000000003
Salta,22.5585361879566,25.51226914594281,23.686462997354433,5.0000000000000036
